Ref_group,n_rows,RE_mean,RE_std,RE_min,RE_max,n_adsorbents,n_adsorbates,regimes,top_adsorbates,top_families
Cojocaru et al. (2009),1,43.08,,43.08,43.08,1,1,Acidic_HighC0:1,Cu2+:1,biomass:1
Cronje et al. (2011),1,93.0,,93.0,93.0,1,1,Neutral_HighC0:1,Cr3+:1,carbon_based:1
DOI: 10.17344/acsi.2018.4795,1,100.0,,100.0,100.0,1,1,Acidic_LowC0:1,Cd2+:1,mineral_oxide:1
Dakiky et al. (2002),1,99.0,,99.0,99.0,1,1,Acidic_HighC0:1,Cr6+:1,biomass:1
Dubey et al. (2015),1,93.0,,93.0,93.0,1,1,Acidic_LowC0:1,Cr3+:1,carbon_based:1
Duranoğlu et al. (2010),1,80.0,,80.0,80.0,1,1,Acidic_LowC0:1,Cr3+:1,polymer:1
El Nemr et al. (2015),1,100.0,,100.0,100.0,1,1,Acidic_HighC0:1,Cr3+:1,composite_other:1
El-Kamash et al. (2005),1,90.65,,90.65,90.65,1,1,Acidic_HighC0:1,Cd2+:1,mineral_oxide:1
El-Shafey (2007),1,90.65,,90.65,90.65,1,1,Neutral_HighC0:1,Cd2+:1,biomass:1
El-Sikaily et al. (2007),1,98.0,,98.0,98.0,1,1,Acidic_HighC0:1,Cr3+:1,biomass:1
Farajzadeh & Monji (2004),1,89.0,,89.0,89.0,1,1,Acidic_LowC0:1,Cr3+:1,composite_other:1
Fiol et al. (2006),1,49.2,,49.2,49.2,1,1,Acidic_HighC0:1,Cd2+:1,composite_other:1
Garg et al. (2009),1,92.0,,92.0,92.0,1,1,Acidic_HighC0:1,Cr3+:1,composite_other:1
Godino-Salido et al. (2009),1,28.8,,28.8,28.8,1,1,Acidic_HighC0:1,Ni2+:1,composite_other:1
Gueye et al. (2014),1,90.65,,90.65,90.65,1,1,Acidic_HighC0:1,Cr3+:1,biomass:1
"Gupta and Gogate, 2016",1,88.0,,88.0,88.0,1,1,Acidic_LowC0:1,Cu2+:1,composite_other:1
Hamidpour et al. (2010),1,71.0,,71.0,71.0,1,1,Acidic_HighC0:1,Cd2+:1,mineral_oxide:1
Hassan et al. (2009),1,20.0,,20.0,20.0,1,1,Acidic_HighC0:1,Cu2+:1,composite_other:1
Heidari et al. (2009),1,90.0,,90.0,90.0,1,1,Acidic_HighC0:1,Cd2+:1,composite_other:1
Ijagbemi et al. (2009),1,100.0,,100.0,100.0,1,1,Acidic_HighC0:1,Ni2+:1,composite_other:1
Izidoro et al. (2013),1,95.6,,95.6,95.6,1,1,Acidic_HighC0:1,Cd2+:1,mineral_oxide:1
Jacinto et al. (2009),1,87.3,,87.3,87.3,1,1,Acidic_HighC0:1,Cu2+:1,composite_other:1
Kadirvelu & Namasivayam (2003),1,98.0,,98.0,98.0,1,1,Acidic_LowC0:1,Cd2+:1,carbon_based:1
Kadirvelu et al. (2002),1,97.5,,97.5,97.5,1,1,Acidic_HighC0:1,Ni2+:1,composite_other:1
Kaewsarn (2002),1,90.0,,90.0,90.0,1,1,Acidic_HighC0:1,Cu2+:1,composite_other:1
Kaikake et al. (2007),1,90.0,,90.0,90.0,1,1,Neutral_HighC0:1,Cd2+:1,composite_other:1
Kaya et al. (2014),1,90.0,,90.0,90.0,1,1,Acidic_HighC0:1,Cr3+:1,composite_other:1
"Kiew & Toong, 2018",1,52.4,,52.4,52.4,1,1,Acidic_HighC0:1,Zn2+:1,composite_other:1
Kul and Koyuncu (2010),1,78.0,,78.0,78.0,1,1,Acidic_LowC0:1,Pb2+:1,composite_other:1
Kula et al. (2008),1,95.0,,95.0,95.0,1,1,Acidic_LowC0:1,Cd2+:1,carbon_based:1
"Lakshmipathy and Sarada, 2015",1,72.0,,72.0,72.0,1,1,Acidic_HighC0:1,Pb2+:1,composite_other:1
"Lakshmipathy et al., 2013",1,35.0,,35.0,35.0,1,1,Acidic_HighC0:1,Cd2+:1,composite_other:1
Li et al. (2016),1,70.0,,70.0,70.0,1,1,Acidic_LowC0:1,Cr3+:1,carbon_based:1
Lingamdinne et al. (2015),1,90.65,,90.65,90.65,1,1,Acidic_HighC0:1,Cr3+:1,carbon_based:1
Liu & Huang (2011),1,90.0,,90.0,90.0,1,1,Acidic_HighC0:1,Cr3+:1,composite_other:1
Liu et al. (2014),1,84.8,,84.8,84.8,1,1,Acidic_LowC0:1,Cr3+:1,composite_other:1
Loutseti et al. (2009),1,90.0,,90.0,90.0,1,1,Acidic_HighC0:1,Cu2+:1,biomass:1
Lugo-Lugo et al. (2012),1,65.0,,65.0,65.0,1,1,Acidic_LowC0:1,Cr3+:1,composite_other:1
Ma et al. (2015),1,93.0,,93.0,93.0,1,1,Acidic_HighC0:1,Cr3+:1,carbon_based:1
Machida et al. (2012),1,80.0,,80.0,80.0,1,1,Acidic_LowC0:1,Cd2+:1,composite_other:1
Marín et al. (2010),1,82.0,,82.0,82.0,1,1,Acidic_HighC0:1,Cr3+:1,composite_other:1
"Mathangi and Kalavathy, 2019",1,69.0,,69.0,69.0,1,1,Acidic_HighC0:1,Ni2+:1,composite_other:1
Mukhopadhyay (2008),1,93.3,,93.3,93.3,1,1,Acidic_LowC0:1,Cu2+:1,composite_other:1
Muthukumaran & Beulah (2011),1,100.0,,100.0,100.0,1,1,Acidic_HighC0:1,Cr3+:1,carbon_based:1
Nadeem et al. (2009),1,82.0,,82.0,82.0,1,1,Acidic_HighC0:1,Pb2+:1,biomass:1
"Oghenejoboh, 2018",1,97.0,,97.0,97.0,1,1,Acidic_HighC0:1,Ni2+:1,composite_other:1
Oladoja et al. (2013),1,71.0,,71.0,71.0,1,1,Acidic_HighC0:1,Cr3+:1,mineral_oxide:1
Oliveira et al. (2008),1,75.0,,75.0,75.0,1,1,Acidic_HighC0:1,Cd2+:1,biomass:1
"Othman and Asharuddin, 2013",1,98.9,,98.9,98.9,1,1,Acidic_LowC0:1,Mn2+:1,composite_other:1
Pardo et al. (2003),1,80.0,,80.0,80.0,1,1,Acidic_LowC0:1,Cu2+:1,composite_other:1
Politi & Sidiras (2012),1,90.65,,90.65,90.65,1,1,Acidic_LowC0:1,Cr3+:1,biomass:1
Salam et al. (2011),1,94.0,,94.0,94.0,1,1,Acidic_HighC0:1,Cd2+:1,carbon_based:1
"Shakoor et al., 2018",1,98.0,,98.0,98.0,1,1,Acidic_LowC0:1,As5+:1,composite_other:1
Shawabkeh et al. (2002),1,96.954,,96.954,96.954,1,1,Acidic_HighC0:1,Cu2+:1,composite_other:1
Shawabkeh et al. (2004),1,90.65,,90.65,90.65,1,1,Neutral_HighC0:1,Cd2+:1,mineral_oxide:1
Shen et al. (2012),1,70.0,,70.0,70.0,1,1,Acidic_HighC0:1,Cr3+:1,composite_other:1
Solisio et al. (2006),1,91.0,,91.0,91.0,1,1,Acidic_HighC0:1,Cu2+:1,composite_other:1
Sousa et al. (2010),1,90.65,,90.65,90.65,1,1,Acidic_HighC0:1,Cd2+:1,composite_other:1
Srivastava et al. (2008),1,29.8,,29.8,29.8,1,1,Acidic_HighC0:1,Cd2+:1,biomass:1
